Person ID,CKW ID,Gender,District,Education Level,Active Date,CKW Status,CKW Type,Poverty Status,Previous Month's Performance: Start Date,Previous Month's Performance: Searches::Target,Previous Month's Performance: Searches::Total Valid,Previous Month's Performance: Searches::Invalid,Previous Month's Performance: Searches::New System (Updated Daily),Previous Month's Performance: Surveys::Target,Previous Month's Performance: Surveys::Total Valid,Previous Month's Performance: Surveys::Approved,Previous Month's Performance: Surveys::Rejected,Previous Month's Performance: Surveys::Pending,Previous Month's Performance: Surveys::Not Reviewed
Person-025269,CKW-11-003176,Female,Gulu,,,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-006302,CKW-11-001095,Male,Gulu,,,,,Unknown,10/1/11,,0,0,0,,1,0,0,0,1
Person-002011,CKW-10-000681,Female,Gulu,,10/8/10,Active,CKW,Unknown,10/1/11,,5,9,5,,1,0,0,0,1
Person-002025,CKW-10-000689,Female,Gulu,,10/29/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-006444,CKW-10-000745,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-006445,CKW-10-000744,Male,Gulu,,,Suspended,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-006442,CKW-10-000746,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,516,2,516,,18,0,1,0,18
Person-001007,CKW-10-000527,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,60,0,60,,26,0,0,0,26
Person-001020,CKW-10-000540,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,17,0,17,,9,1,0,0,8
Person-000983,CKW-10-000503,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,50,5,50,,19,0,0,0,19
Person-000984,CKW-10-000504,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,7,0,7,,0,0,0,0,0
Person-001043,CKW-10-000558,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,44,4,44,,15,0,0,0,15
Person-001042,CKW-10-000557,Male,Gulu,O-Level,10/8/10,Active,CKW,Unknown,10/1/11,,35,12,35,,8,0,0,0,8
Person-001037,CKW-10-000555,Male,Gulu,No Grade Completed,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-003750,CKW-10-000829,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,15,0,0,0,15
Person-003751,CKW-10-000827,Male,Gulu,,,,,Unknown,10/1/11,,0,0,0,,28,1,0,0,27
Person-003752,CKW-10-000828,Female,Gulu,,,,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-001018,CKW-10-000538,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,31,0,31,,16,0,0,0,16
Person-001000,CKW-10-000520,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,36,10,36,,8,0,0,0,8
Person-000993,CKW-10-000513,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-001034,CKW-10-000554,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,65,6,65,,32,0,0,0,32
Person-001035,CKW-10-000553,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,9,0,9,,2,0,0,0,2
Person-001026,CKW-10-000546,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,1,3,1,,0,0,0,0,0
Person-001030,CKW-10-000551,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-001027,CKW-10-000547,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,56,5,56,,19,0,0,0,19
Person-001028,CKW-10-000549,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,28,6,28,,6,0,0,0,6
Person-001031,CKW-10-000552,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,12,2,1,0,10
Person-001025,CKW-10-000545,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,63,28,63,,0,0,0,0,0
Person-001024,CKW-10-000544,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,25,0,25,,20,0,1,0,20
Person-001001,CKW-10-000521,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,52,1,52,,23,0,2,0,23
Person-001016,CKW-10-000536,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,26,3,26,,7,1,0,0,6
Person-001023,CKW-10-000543,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,24,3,24,,5,0,0,0,5
Person-000986,CKW-10-000508,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,82,17,82,,23,1,0,0,22
Person-001015,CKW-10-000535,Female,Gulu,,1/22/11,Dropped,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-001009,CKW-10-000529,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000995,CKW-10-000515,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,12,2,12,,22,1,0,0,21
Person-000991,CKW-10-000511,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,25,52,25,,5,0,0,0,5
Person-001003,CKW-10-000523,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,67,44,67,,13,0,2,0,13
Person-001010,CKW-10-000530,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,1,0,1,0,1
Person-001019,CKW-10-000539,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,54,6,54,,1,0,0,0,1
Person-001013,CKW-10-000533,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000997,CKW-11-015832,Male,Gulu,,,In Training,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-000997,CKW-10-000517,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,7,5,7,,5,0,0,0,5
Person-000989,CKW-10-000505,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,116,7,116,,16,0,0,0,16
Person-001012,CKW-10-000532,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,5,0,,0,0,0,0,0
Person-000987,CKW-10-000506,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,50,1,50,,24,0,0,0,24
Person-001008,CKW-11-015834,Male,Gulu,,,In Training,,Unknown,10/1/11,,0,0,0,,0,,0,0,0
Person-001008,CKW-10-000528,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-001011,CKW-10-000531,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
Person-001006,CKW-10-000526,Male,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,3,0,0,0,3
Person-001002,CKW-10-000522,Male,Gulu,O-Level,10/8/10,Active,,Unknown,10/1/11,,55,2,55,,15,0,0,0,15
Person-000994,CKW-10-000514,Female,Gulu,,10/8/10,Active,,Unknown,10/1/11,,0,0,0,,0,0,0,0,0
