"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
36662,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo","","","County","County"
36663,236,"UGA","Uganda",2,"Apac",2,"Kole","","","County","County"
36664,236,"UGA","Uganda",2,"Apac",3,"Kwania","","","County","County"
36665,236,"UGA","Uganda",2,"Apac",4,"Maruzi","","","County","County"
36666,236,"UGA","Uganda",2,"Apac",5,"Oyam","","","County","County"
36667,236,"UGA","Uganda",3,"Arua",6,"Arua Municipality","","Arua","County","County"
36668,236,"UGA","Uganda",3,"Arua",7,"Ayivu","","","County","County"
36669,236,"UGA","Uganda",3,"Arua",8,"Koboko","","","County","County"
36670,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo","","","County","County"
36671,236,"UGA","Uganda",3,"Arua",10,"Maracha","","","County","County"
36672,236,"UGA","Uganda",3,"Arua",11,"Terego","","","County","County"
36673,236,"UGA","Uganda",3,"Arua",12,"Vurra","","","County","County"
36674,236,"UGA","Uganda",4,"Bugiri",13,"Bukooli","","","County","County"
36675,236,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba","","","County","County"
36676,236,"UGA","Uganda",5,"Bundibugyo",15,"Ntoroko","","Ntoroka","County","County"
36677,236,"UGA","Uganda",6,"Bushenyi",16,"Buhweju","","","County","County"
36678,236,"UGA","Uganda",6,"Bushenyi",17,"Bunyaruguru","","","County","County"
36679,236,"UGA","Uganda",6,"Bushenyi",18,"Igara","","","County","County"
36680,236,"UGA","Uganda",6,"Bushenyi",19,"Ruhinda","","","County","County"
36681,236,"UGA","Uganda",6,"Bushenyi",20,"Sheema","","","County","County"
36682,236,"UGA","Uganda",7,"Busia",21,"Samia-Bugwe","","","County","County"
36683,236,"UGA","Uganda",8,"Gulu",22,"Aswa","","","County","County"
36684,236,"UGA","Uganda",8,"Gulu",23,"Gulu","","Gulu Municipality","County","County"
36685,236,"UGA","Uganda",8,"Gulu",24,"Kilak","","","County","County"
36686,236,"UGA","Uganda",8,"Gulu",25,"Nwoya","","","County","County"
36687,236,"UGA","Uganda",8,"Gulu",26,"Omoro","","","County","County"
36688,236,"UGA","Uganda",9,"Hoima",27,"Bugahya","","","County","County"
36689,236,"UGA","Uganda",9,"Hoima",28,"Buhaguzi","","","County","County"
36690,236,"UGA","Uganda",10,"Iganga",29,"Bugweri","","","County","County"
36691,236,"UGA","Uganda",10,"Iganga",30,"Busiki","","","County","County"
36692,236,"UGA","Uganda",10,"Iganga",31,"Kigulu","","","County","County"
36693,236,"UGA","Uganda",10,"Iganga",32,"Luuka","","","County","County"
