"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
113314,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc","","","Sub-county","Sub-county"
113315,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi","","","Sub-county","Sub-county"
113316,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo","","","Sub-county","Sub-county"
113317,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi","","","Sub-county","Sub-county"
113318,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua","","","Sub-county","Sub-county"
113319,236,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle","","","Sub-county","Sub-county"
113320,236,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke","","","Sub-county","Sub-county"
113321,236,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo","","","Sub-county","Sub-county"
113322,236,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito","","","Sub-county","Sub-county"
113323,236,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer","","","Sub-county","Sub-county"
113324,236,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla","","Bala","Sub-county","Sub-county"
113325,236,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola","","","Sub-county","Sub-county"
113326,236,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku","","","Sub-county","Sub-county"
113327,236,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente","","Chawente","Sub-county","Sub-county"
113328,236,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo","","","Sub-county","Sub-county"
113329,236,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso","","","Sub-county","Sub-county"
113330,236,"UGA","Uganda",2,"Apac",4,"Maruzi",17,"Akokoro","","","Sub-county","Sub-county"
113331,236,"UGA","Uganda",2,"Apac",4,"Maruzi",18,"Apac Tc","","","Sub-county","Sub-county"
113332,236,"UGA","Uganda",2,"Apac",4,"Maruzi",19,"Apac","","","Sub-county","Sub-county"
113333,236,"UGA","Uganda",2,"Apac",4,"Maruzi",20,"Cegere","","","Sub-county","Sub-county"
113334,236,"UGA","Uganda",2,"Apac",4,"Maruzi",21,"Ibuje","","","Sub-county","Sub-county"
113335,236,"UGA","Uganda",2,"Apac",5,"Oyam",22,"Aber","","","Sub-county","Sub-county"
113336,236,"UGA","Uganda",2,"Apac",5,"Oyam",23,"Achaba","","Acaba","Sub-county","Sub-county"
113337,236,"UGA","Uganda",2,"Apac",5,"Oyam",24,"Icheme","","Iceme","Sub-county","Sub-county"
113338,236,"UGA","Uganda",2,"Apac",5,"Oyam",25,"Loro","","","Sub-county","Sub-county"
113339,236,"UGA","Uganda",2,"Apac",5,"Oyam",26,"Minakulu","","","Sub-county","Sub-county"
113340,236,"UGA","Uganda",2,"Apac",5,"Oyam",27,"Ngai","","","Sub-county","Sub-county"
113341,236,"UGA","Uganda",2,"Apac",5,"Oyam",28,"Otwal","","","Sub-county","Sub-county"
113342,236,"UGA","Uganda",3,"Arua",6,"Arua Municipality",29,"Arua Hill","","","Sub-county","Sub-county"
113343,236,"UGA","Uganda",3,"Arua",6,"Arua Municipality",30,"Oli River","","","Sub-county","Sub-county"
113344,236,"UGA","Uganda",3,"Arua",7,"Ayivu",31,"Adumi","","","Sub-county","Sub-county"
113345,236,"UGA","Uganda",3,"Arua",7,"Ayivu",32,"Aroi","","","Sub-county","Sub-county"
113346,236,"UGA","Uganda",3,"Arua",7,"Ayivu",33,"Dadamu","","","Sub-county","Sub-county"
113347,236,"UGA","Uganda",3,"Arua",7,"Ayivu",34,"Manibe","","","Sub-county","Sub-county"
113348,236,"UGA","Uganda",3,"Arua",7,"Ayivu",35,"Oluko","","","Sub-county","Sub-county"
113349,236,"UGA","Uganda",3,"Arua",7,"Ayivu",36,"Pajulu","","","Sub-county","Sub-county"
113350,236,"UGA","Uganda",3,"Arua",8,"Koboko",37,"Koboko Tc","","","Sub-county","Sub-county"
113351,236,"UGA","Uganda",3,"Arua",8,"Koboko",38,"Kuluba","","","Sub-county","Sub-county"
113352,236,"UGA","Uganda",3,"Arua",8,"Koboko",39,"Lobule","","","Sub-county","Sub-county"
113353,236,"UGA","Uganda",3,"Arua",8,"Koboko",40,"Ludara","","","Sub-county","Sub-county"
113354,236,"UGA","Uganda",3,"Arua",8,"Koboko",41,"Midia","","","Sub-county","Sub-county"
113355,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",42,"Offaka","","","Sub-county","Sub-county"
113356,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",43,"Ogoko","","","Sub-county","Sub-county"
113357,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",44,"Okollo","","","Sub-county","Sub-county"
113358,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",45,"Rhino Camp","","","Sub-county","Sub-county"
113359,236,"UGA","Uganda",3,"Arua",9,"Madi-Okollo",46,"Rigbo","","","Sub-county","Sub-county"
